reaction_id,rmg_value,sensitivity,uncertainty,class
C[CH2]_m2.CO[O]_m2>>C=C_m1.COO_m1,0.4116328021172727,0.006029127569545031,4.2235293763427535,abstraction
C=CC=O_m1.[CH3]_m2>>C=C[C]=O_m2.C_m1,0.4053253341637553,0.03153459048695268,2.5536049848239344,abstraction
O=CC=O_m1.[OH]_m2>>[O]C=C=O_m2.O_m1,0.4045272112735844,0.03147249597575779,2.5536049848239344,abstraction
C=CCO_m1.[CH3]_m2>>C=C[CH]O_m2.C_m1,0.40081986357456056,0.003169783615046764,4.839848783037636,abstraction
[O]O_m2.C=C[CH]O_m2>>[O][O]_m3.C=CCO_m1,0.3910066995231773,8.727044624963704e-06,10.710053191546102,abstraction
C#C[O]_m2.[O][O]_m3>>[OH]_m2.[C-]#[O+]_m1.[C-]#[O+]_m1,0.3863085824755828,0.23430799938156746,0.5,
[CH3]_m2.[OH]_m2>>[CH2]_m3.O_m1,0.3821409066356759,0.2317801762049203,0.5,abstraction
O=CCO_m1.[CH3]_m2>>[O]C=CO_m2.C_m1,0.376255553606602,0.002975522915097993,4.839848783037636,abstraction
[CH]=C_m2.[CH]=O_m2>>C#C_m1.C=O_m1,0.3619168558551151,0.0024385765928274204,5.0,abstraction
CCC=O_m1.[CH3]_m2>>CC[C]=O_m2.C_m1,0.35674670418586424,0.07960094923741641,1.5,abstraction
[H]_m2.[CH]=O_m2>>C=O_m1,0.3525718162404769,0.21384561630041785,0.5,
[CH3]_m2.[CH3]_m2>>[H]_m2.C[CH2]_m2,0.3510256020959724,0.21290779001529447,0.5,
[CH2]O_m2.[O][O]_m3>>C=O_m1.[O]O_m2,0.3370859822369029,0.20445298318602967,0.5,abstraction
CCC=O_m1.[OH]_m2>>CC[C]=O_m2.O_m1,0.33396684330042903,0.0745180752298903,1.5,abstraction
[O]_m3.[CH3]_m2>>[H]_m2.C=O_m1,0.3327711829152905,0.20183592510696446,0.5,
[CH2][O]_m3.[O][O]_m3>>[O]CO[O]_m3,0.3163923837231354,0.0010434820280600862,5.7144199392957375,
C=C[O]_m2.C=C[O]_m2>>C=C=O_m1.C=CO_m1,0.3160811262649589,0.003662535874111344,4.457843140049898,abstraction
[CH2]O_m2>>C[O]_m2,0.30454186636973635,0.18471397911935286,0.5,migration
CCC_m1.[CH3]_m2>>[CH2]CC_m2.C_m1,0.2995073845763411,0.023301881043086628,2.5536049848239344,abstraction
C=C[O]_m2.[CH]=O_m2>>C=C=O_m1.C=O_m1,0.2959946542598409,0.023028588202286347,2.5536049848239344,abstraction
O=CCO_m1.[H]_m2>>[O]C=CO_m2.[H][H]_m1,0.28817869040444394,0.002278989077295861,4.839848783037636,abstraction
[CH3]_m2.[O][O]_m3>>[OH]_m2.C=O_m1,0.28693701316450354,0.1740360958906389,0.5,
[H]_m2.C=CCO_m1>>C[CH]CO_m2,0.28561622928499114,0.17323499997286046,0.5,addition
CC=CO_m1.[OH]_m2>>C=C[CH]O_m2.O_m1,0.28554499737541744,0.01199482412924771,3.169924391518818,abstraction
[CH]=O_m2.[H]_m2>>[C-]#[O+]_m1.[H][H]_m1,0.2825473918853318,0.17137365600029425,0.5,abstraction
C[CH]C[O]_m3>>CC1CO1_m1,0.2759286989692692,0.005332112387918,3.946395015176066,
[H]_m2.C=C=O_m1>>C=C[O]_m2,0.27118377018240786,0.164481271032095,0.5,addition
C=C_m1.[OH]_m2>>[H]_m2.CC=O_m1,0.2710065462725247,0.16437377929711672,0.5,
CC(CO)O[O]_m2>>CC=CO_m1.[O]O_m2,0.2701083361616081,0.060269316305165535,1.5,
[CH3]_m2.C=C[O]_m2>>CCC=O_m1,0.2639360829724483,0.011087103348740359,3.169924391518818,
C=C_m1.[O]_m3>>[CH]=O_m2.[CH3]_m2,0.2623074905891021,0.15909753531457346,0.5,
C=O_m1.[CH3]_m2>>[CH]=O_m2.C_m1,0.2579073890623059,0.1564287388327232,0.5,abstraction
