Unnamed: 0,species,species_id,path
206,S(3851),C#CCC([O])CC=O_m2,geoms/C_t_CCC_p__b_O_d__q_CC=O_m2.xyz
207,S(6596),[CH2]C(=CC)O[O]_m3,geoms/_b_CH2_d_C_p_=CC_q_O_b_O_d__m3.xyz
208,S(7103),OOCC1[CH]COO1_m2,geoms/OOCC1_b_CH_d_COO1_m2.xyz
209,C4H5(6321),C#C[CH]C_m2,geoms/C_t_C_b_CH_d_C_m2.xyz
210,S(2261),[CH2]C(O)=CO_m2,geoms/_b_CH2_d_C_p_O_q_=CO_m2.xyz
211,S(5045),[O]C=CC=CO_m2,geoms/_b_O_d_C=CC=CO_m2.xyz
212,S(6274),[O]OC(O)([C]=O)C=O_m3,geoms/_b_O_d_OC_p_O_q__p__b_C_d_=O_q_C=O_m3.xyz
213,S(7829),C#CC(C)O[O]_m2,geoms/C_t_CC_p_C_q_O_b_O_d__m2.xyz
214,S(7826),C#CC(C)C(C)[O]_m2,geoms/C_t_CC_p_C_q_C_p_C_q__b_O_d__m2.xyz
215,C4H5(6320),[CH2]C#CC_m2,geoms/_b_CH2_d_C_t_CC_m2.xyz
216,C4H4(7722),C#CC=C_m1,geoms/C_t_CC=C_m1.xyz
217,S(7905),CC#CCC[O]_m2,geoms/CC_t_CCC_b_O_d__m2.xyz
218,S(7959),CC#CCO[O]_m2,geoms/CC_t_CCO_b_O_d__m2.xyz
219,S(8003),CC#CCC(C)[O]_m2,geoms/CC_t_CCC_p_C_q__b_O_d__m2.xyz
220,S(1600),[CH2]C(=O)CC(C)=O_m2,geoms/_b_CH2_d_C_p_=O_q_CC_p_C_q_=O_m2.xyz
221,S(7850),CC1[C]=COO1_m2,geoms/CC1_b_C_d_=COO1_m2.xyz
222,S(7963),C=C[C]=CO[O]_m3,geoms/C=C_b_C_d_=CO_b_O_d__m3.xyz
223,S(8053),CC1=[C]COO1_m2,geoms/CC1=_b_C_d_COO1_m2.xyz
224,S(7960),C=C=C(C)O[O]_m2,geoms/C=C=C_p_C_q_O_b_O_d__m2.xyz
225,C4H4(7861),[C]=CC=C_m1,geoms/_b_C_d_=CC=C_m1.xyz
226,S(8023),CC#CCC([O])O_m2,geoms/CC_t_CCC_p__b_O_d__q_O_m2.xyz
227,S(6631),[O]C(C=O)=COCC=O_m2,geoms/_b_O_d_C_p_C=O_q_=COCC=O_m2.xyz
228,S(6632),[O]C(C=O)(C=O)CC=O_m2,geoms/_b_O_d_C_p_C=O_q__p_C=O_q_CC=O_m2.xyz
229,S(5241),[O]OC(O)C=CC=O_m2,geoms/_b_O_d_OC_p_O_q_C=CC=O_m2.xyz
230,S(6633),[O]C(CC=O)C(=O)C=O_m2,geoms/_b_O_d_C_p_CC=O_q_C_p_=O_q_C=O_m2.xyz
231,S(6115),[O]C=C(C=O)OCC=O_m2,geoms/_b_O_d_C=C_p_C=O_q_OCC=O_m2.xyz
232,S(5227),OC1[CH]C=CO1_m2,geoms/OC1_b_CH_d_C=CO1_m2.xyz
233,S(5251),COC=CC=C[O]_m2,geoms/COC=CC=C_b_O_d__m2.xyz
234,S(7832),[O]OC(C=O)C=CO_m2,geoms/_b_O_d_OC_p_C=O_q_C=CO_m2.xyz
235,S(5214),O=[C]C=CC=O_m2,geoms/O=_b_C_d_C=CC=O_m2.xyz
236,S(7874),CC#CC[C]=O_m2,geoms/CC_t_CC_b_C_d_=O_m2.xyz
237,C3H3O(371),[CH]=CC=O_m2,geoms/_b_CH_d_=CC=O_m2.xyz
238,S(8355),[O]OC(C=O)C=C=O_m2,geoms/_b_O_d_OC_p_C=O_q_C=C=O_m2.xyz
239,S(8354),[O]OC(=O)C=CC=O_m2,geoms/_b_O_d_OC_p_=O_q_C=CC=O_m2.xyz
240,S(8211),O=C1[CH]C=CO1_m2,geoms/O=C1_b_CH_d_C=CO1_m2.xyz
241,S(8220),O=[C]CC=C=O_m2,geoms/O=_b_C_d_CC=C=O_m2.xyz
242,C3H3O(372),[CH2]C=C=O_m2,geoms/_b_CH2_d_C=C=O_m2.xyz
243,S(8541),[O]OC1C=COC1=O_m2,geoms/_b_O_d_OC1C=COC1=O_m2.xyz
244,S(8542),[O]OC1C=CC(=O)O1_m2,geoms/_b_O_d_OC1C=CC_p_=O_q_O1_m2.xyz
245,S(8431),[O]C=C=CC(=O)OO_m2,geoms/_b_O_d_C=C=CC_p_=O_q_OO_m2.xyz
246,S(8959),CC1OOCC=1O[O]_m2,geoms/CC1OOCC=1O_b_O_d__m2.xyz
247,S(8958),CC1OOC=C1O[O]_m2,geoms/CC1OOC=C1O_b_O_d__m2.xyz
248,S(7717),C=CC(COO)O[O]_m2,geoms/C=CC_p_COO_q_O_b_O_d__m2.xyz
249,S(8422),O=CC1[CH]C(=O)OO1_m2,geoms/O=CC1_b_CH_d_C_p_=O_q_OO1_m2.xyz
250,S(8726),O=CC1=CC(=O)O1_m1,geoms/O=CC1=CC_p_=O_q_O1_m1.xyz
251,S(9083),[O]C=C([O])C=C=O_m3,geoms/_b_O_d_C=C_p__b_O_d__q_C=C=O_m3.xyz
252,S(9130),O=C=CC(=O)C=O_m1,geoms/O=C=CC_p_=O_q_C=O_m1.xyz
253,S(9132),O=C=C=C(O)C=O_m1,geoms/O=C=C=C_p_O_q_C=O_m1.xyz
254,S(9114),O=C=CC(O)=C=O_m1,geoms/O=C=CC_p_O_q_=C=O_m1.xyz
255,S(9048),CC1OO[CH]C1=O_m2,geoms/CC1OO_b_CH_d_C1=O_m2.xyz
256,S(9040),CC1OOCC=1[O]_m2,geoms/CC1OOCC=1_b_O_d__m2.xyz
257,S(1070),C=C[CH]COO_m2,geoms/C=C_b_CH_d_COO_m2.xyz
258,S(6407),CC([O])C(=O)C=O_m2,geoms/CC_p__b_O_d__q_C_p_=O_q_C=O_m2.xyz
259,S(9804),CC(=O)C(=O)C[O]_m2,geoms/CC_p_=O_q_C_p_=O_q_C_b_O_d__m2.xyz
260,S(529),CC(=O)[C]=O_m2,geoms/CC_p_=O_q__b_C_d_=O_m2.xyz
261,S(6403),CC(=O)C(O)=C[O]_m2,geoms/CC_p_=O_q_C_p_O_q_=C_b_O_d__m2.xyz
262,S(9861),CC(=O)C(O)(C=O)O[O]_m2,geoms/CC_p_=O_q_C_p_O_q__p_C=O_q_O_b_O_d__m2.xyz
263,S(9831),C=C([O])C(O)=CO_m2,geoms/C=C_p__b_O_d__q_C_p_O_q_=CO_m2.xyz
264,S(9568),CC([O])C1C(=O)OOC1C=O_m2,geoms/CC_p__b_O_d__q_C1C_p_=O_q_OOC1C=O_m2.xyz
265,S(9425),[O]CC1C(=O)OOC1C=O_m2,geoms/_b_O_d_CC1C_p_=O_q_OOC1C=O_m2.xyz
266,S(10036),[O]CCC(=O)C(O)=CO_m2,geoms/_b_O_d_CCC_p_=O_q_C_p_O_q_=CO_m2.xyz
267,S(9866),C=C([O])C(O)(C=O)OO_m2,geoms/C=C_p__b_O_d__q_C_p_O_q__p_C=O_q_OO_m2.xyz
268,S(7772),C=C(O)C(O)=C[O]_m2,geoms/C=C_p_O_q_C_p_O_q_=C_b_O_d__m2.xyz
269,S(10118),[O]OCC(=O)C(O)=CO_m2,geoms/_b_O_d_OCC_p_=O_q_C_p_O_q_=CO_m2.xyz
270,S(9809),CC(=O)C(=O)C=O_m1,geoms/CC_p_=O_q_C_p_=O_q_C=O_m1.xyz
271,S(9876),C=C(O)C(O)(C=O)O[O]_m2,geoms/C=C_p_O_q_C_p_O_q__p_C=O_q_O_b_O_d__m2.xyz
272,S(9061),O=C1[CH]C(=CO)OO1_m2,geoms/O=C1_b_CH_d_C_p_=CO_q_OO1_m2.xyz
273,S(10409),[O]OCC(O)=C(O)C=O_m2,geoms/_b_O_d_OCC_p_O_q_=C_p_O_q_C=O_m2.xyz
274,S(9049),[O]C1C2OOC(=O)C12_m2,geoms/_b_O_d_C1C2OOC_p_=O_q_C12_m2.xyz
275,S(9052),[O]C=C1CC(=O)OO1_m2,geoms/_b_O_d_C=C1CC_p_=O_q_OO1_m2.xyz
276,S(2285),C=C(O)C(O)O[O]_m2,geoms/C=C_p_O_q_C_p_O_q_O_b_O_d__m2.xyz
277,S(10783),[O]C(=O)CC(=O)C=O_m2,geoms/_b_O_d_C_p_=O_q_CC_p_=O_q_C=O_m2.xyz
278,S(149),[CH2]C(=O)C=O_m2,geoms/_b_CH2_d_C_p_=O_q_C=O_m2.xyz
279,S(9637),[O]C(=CC(=O)C=O)CC=O_m2,geoms/_b_O_d_C_p_=CC_p_=O_q_C=O_q_CC=O_m2.xyz
280,S(9636),[O]C(CC=O)C(=O)C=C=O_m2,geoms/_b_O_d_C_p_CC=O_q_C_p_=O_q_C=C=O_m2.xyz
281,S(9634),[O]C(C=O)(C=C=O)CC=O_m2,geoms/_b_O_d_C_p_C=O_q__p_C=C=O_q_CC=O_m2.xyz
282,S(9631),[O]C=C(C=C=O)OCC=O_m2,geoms/_b_O_d_C=C_p_C=C=O_q_OCC=O_m2.xyz
