reaction_id,press_dependence,class,rmg_value,Unnamed: 0
CCCC=CC(OO)C_m1>>CCCC=CC=O_m1.[CH3]_m2.[OH]_m2,,,,
C=C1OOC([O])C1=O_m2.C#C[CH]C_m2>>C=C1OOC(=O)C1=O_m1.C=C=CC_m1,,abstraction,2.653918050614746e-06,1940.0
CCCCCC=O_m1.O[O]_m2>>CCCC[CH]C=O_m2.OO_m1,,abstraction,,
[H]_m2.CC(=O)C(=O)C=O_m1>>CC(=O)C(O)=C[O]_m2,,addition,4.5043280383419206e-12,3970.0
CCCCC1CCO1_m1.O[O]_m2>>[CH]=O_m2.CCCCC=C_m1.OO_m1,,,,
[CH2]COO_m2>>O1CC1_m1.[OH]_m2,,,,
C[CH]C_m2.[CH]=C[CH]C_m3>>C=CC_m1.[CH2]C=CC_m2,,abstraction,0.00024226323087684888,1077.0
C1=COCC1_m1.C=C[CH]CO[O]_m3>>[CH]1C=CCO1_m2.CC=CCO[O]_m2,,abstraction,5.5734751151974895e-08,2610.0
C=CCC_m1.[CH2]C#CC_m2>>[CH2]C=CC_m2.C=C=CC_m1,,abstraction,1.0678381537994805e-06,2095.0
CCCC(CCCOO)O[O]_m2>>CCCC(CCC=O)OO_m1.[OH]_m2,,,,
C=C[O]_m2.[CH2][C]=O_m3>>C=C=O_m1.C=C[O]_m2,,abstraction,1.7121920635849938e-10,3529.0
C=CCCC=C_m1.[H]_m2>>C=C[CH]CC=C_m2.[H][H]_m1,,abstraction,,
OOC(C)C_m1.[H]_m2>>[O]OC(C)C_m2.[H][H]_m1,,abstraction,,
[OH]_m2.[C]=C_m1>>[H]_m2.C=C=O_m1,,,0.016903757481252845,445.0
CC(C)C_m1.[O]OCC(C)C_m2>>C[C](C)C_m2.OOCC(C)C_m1,,abstraction,,
C[CH]C_m2.[C]#C_m2>>C=CC_m1.C#C_m1,,abstraction,0.00032384258593174737,1024.0
O=CC(C)C_m1.O[O]_m2>>O=C[C](C)C_m2.OO_m1,,abstraction,,
CCCCCCOO_m1.O[O]_m2>>CCCCCCO[O]_m2.OO_m1,,abstraction,,
CC([O])CC=O_m2.[OH]_m2>>CC(CC=O)OO_m1,,,0.205509478450046,184.0
[CH2]C=CC_m2.[CH2]C=CC_m2>>[CH]=C[CH]C_m3.C=CCC_m1,,abstraction,3.2101825470502906e-06,1906.0
[O]C1OC(O)C=1O_m2.O=[C]O_m2>>O=C1OC(O)C1=O_m1.O=CO_m1,,abstraction,5.823945927207266e-14,4367.0
C=C[O]_m2.[O]_m3>>C=C=O_m1.[OH]_m2,,abstraction,0.025082112713728004,392.0
CCCC[CH]C(OO)C_m2.[O][O]_m3>>CC(C(O[O])CCCC)OO_m2,,,,
CC=CO_m1.C=CC(=O)O[O]_m2>>C=C[CH]O_m2.C=CC(=O)OO_m1,,abstraction,1.230189106100618e-05,
CC(O)([CH2])C_m2.[O][O]_m3>>[CH3]_m2.CC(=O)COO_m1,,,,
CCCCCC(O[O])C_m2.[CH3]_m2>>CCCCCC([O])C_m2.C[O]_m2,,,,
[H]_m2.C#CC(=O)C=O_m1>>C=[C]C(=O)C=O_m2,,addition,3.974486096046983e-12,3986.0
[O]CO[O]_m3.[CH2]O_m2>>[O]OC=O_m2.CO_m1,,abstraction,3.4210562908505074e-11,
CCCC1OC1CC_m1.O[O]_m2>>CCC=C=O_m1.CC[CH2]_m2.OO_m1,,,,
C#[C]_m2.[H]_m2>>C#C_m1,falloff,,0.0005777320823740201,911.0
[CH2]C=C_m2.C=O_m1>>[O]CCC=C_m2,,addition,0.0008623978369671332,862.0
[CH2]CCC_m2.[O]_m3>>C=CCC_m1.[OH]_m2,,abstraction,9.979732439887867e-08,2493.0
O[O]_m2.CC(OO)CC=CC_m1>>OOC([CH]CC(OO)C)C_m2,,addition,,
CCC_m1.[CH2]_m3>>[CH2]CC_m2.[CH3]_m2,,abstraction,0.02646740372216264,
[O]OC(C)(C)C_m2.CCO[O]_m2>>CC([O])(C)C_m2.CC[O]_m2.[O][O]_m3,,,,
O[CH]CO_m2.C=C[CH]O_m2>>O=CCO_m1.C=CCO_m1,,abstraction,7.819895131595939e-08,
[O]C(C=O)=CO_m2.[O]C(=O)O_m2>>O=CC(=O)C=O_m1.O=C(O)O_m1,,abstraction,3.774555010896247e-13,4213.0
O[CH]CO_m2.[CH2]O[O]_m3>>O=CCO_m1.CO[O]_m2,,abstraction,2.693309335395989e-11,
[CH2]CO[O]_m3.C=C[CH]O_m2>>C=CO[O]_m2.CC=CO_m1,,abstraction,6.588442834607818e-11,
[C-]#[O+]_m1.C=C=C=C[O]_m2>>O=[C]CC#CC=O_m2,,,4.8606116219295144e-29,4899.0
O[O]_m2.CCCCC=CC_m1>>CCCCC(OO)[CH]C_m2,,addition,,
CCC(=C)C_m1.[CH3]_m2>>CCC(=C)[CH2]_m2.C_m1,,abstraction,,
[O]C1OOC(=O)C=1O_m2.[CH2]_m3>>O=C1OOC(=O)C1=O_m1.[CH3]_m2,,abstraction,5.264031367010439e-07,2231.0
OOCC([CH2])C_m2>>[OH]_m2.C=O_m1.CC=C_m1,,,,
[CH2]C=CC=O_m2.[O][O]_m3>>[O]OCC=CC=O_m2,,addition,5.775898948516065e-15,4499.0
CC=CCCC=CC_m1.[OH]_m2>>CC=CCCC=C[CH2]_m2.O_m1,,,,
[O]CC=CC=O_m2.[O]OC(O)([C]=O)C=O_m3>>O=CC=CC=O_m1.[O]OC(O)(C=O)C=O_m2,,abstraction,1.5472947622667752e-08,2839.0
CCC(OO)CCC=C_m1>>[CH2]CC=C_m2.CCC=O_m1.[OH]_m2,,,,
[CH3]_m2.OOC=C_m1>>OOC([CH2])C_m2,,addition,,
CC(=C)[CH2]_m2.O[O]_m2>>CC(=C)C=O_m1.O_m1,,,,
C=C(O)CO[O]_m2>>CC(=O)CO[O]_m2,,migration,0.2784713449647097,160.0
[CH2]C#C_m2.[CH2]_m3>>C=CC#C_m1.[H]_m2,,,,
C[CH2]_m2.[CH2]C=C[CH2]_m3>>C=C_m1.[CH2]CC=C_m2,,abstraction,8.443937597438964e-17,4656.0
[O]OCC(C(OO)C)C_m2>>CC(C(=O)C)COO_m1.[OH]_m2,,,,
OOC(C[CH]CC(OO)C)C_m2>>CC=O_m1.CC(OO)CC=C_m1.[OH]_m2,,,,
CCCC_m1>>C[CH]CC_m2.[H]_m2,,,0.00011256672490789285,1215.0
CC(=C)[CH2]_m2.CO[O]_m2>>COOCC(=C)C_m1,,,,
[CH]=O_m2.CCCC=C_m1>>CCC[CH]CC=O_m2,,addition,,
O=C=C(O)[CH]O_m2.[CH]C=O_m3>>O=C=C(O)C=O_m1.C=C[O]_m2,,abstraction,5.705985920262341e-09,3000.0
[CH]1C=CCO1_m2.C#C[CH2]_m2>>C1C=COC=1_m1.C#CC_m1,,abstraction,0.005747623001057309,576.0
CCC(C(OO)CC)O[O]_m2.CCCCC[CH2]_m2>>CCCCCC[O]_m2.CCC(C(CC)[O])OO_m2,,,,
C=C[O]_m2.CC(=O)C(=O)C=O_m1>>CC(=O)C(=O)[CH]OCC=O_m2,,addition,2.9478026331746793e-21,4817.0
