,reaction_id,rmg_value,class
216,[H]_m2.C#CC_m1>>C=[C]C_m2,0.14791890170320512,addition
217,[CH]=C_m2.[H]_m2>>[C]=C_m1.[H][H]_m1,0.1477568338075522,abstraction
218,O=C=C[C](O)C=O_m2.C=C[O]_m2>>O=C=CC(=O)C=O_m1.C=CO_m1,0.1459765532251587,abstraction
219,COO_m1.O=[C]C=CC=O_m2>>CO[O]_m2.O=CC=CC=O_m1,0.1438636942516691,abstraction
220,[C-]#[O+]_m1.[CH2]_m1>>[C-]#[O+]_m1.[CH2]_m3,0.14319321596229326,
221,CCCCOO_m1.[CH2]CCC_m2>>C[CH]CCOO_m2.CCCC_m1,0.1422094535271232,abstraction
222,[CH2]C=CC_m2.[O]O_m2>>C=CC=C_m1.OO_m1,0.13900318593794414,abstraction
223,C=C=O_m1.[O]_m3>>C#C[O]_m2.[OH]_m2,0.13878202420829416,abstraction
224,CO_m1.[O]_m3>>[CH2]O_m2.[OH]_m2,0.13746843159675848,abstraction
225,O=[C]O_m2.[CH]=C[CH]C_m3>>O=C=O_m1.[CH2]C=CC_m2,0.13626956259946618,abstraction
226,C#C[CH]C_m2>>[CH2]C#CC_m2,0.13520266862221147,migration
227,C[CH]C_m2.[CH2]C=C[CH2]_m3>>C=CC_m1.[CH2]C=CC_m2,0.1330546299910232,abstraction
228,[CH2]_m1.CC(C)O[O]_m2>>CCC(C)O[O]_m2,0.1327177234517897,
229,[CH2]CC_m2.[CH]1C=CCO1_m2>>C=CC_m1.C1=COCC1_m1,0.1305535054849301,abstraction
230,C=[C]C_m2.[CH]C=C_m3>>C=C=C_m1.[CH2]C=C_m2,0.12386910609347745,abstraction
231,[CH2]_m3.[CH3]_m2>>[H]_m2.C=C_m1,0.12027786731249,
232,[CH]=C_m2.[CH2]C=C_m2>>C#C_m1.C=CC_m1,0.11983364186736888,abstraction
233,CC(CCOO)O[O]_m2>>CC(CCO[O])OO_m2,0.11742888531316825,migration
234,[H]_m2.C[C]=O_m2>>[CH]=O_m2.[CH3]_m2,0.11725025357552912,
235,O=CO_m1.[OH]_m2>>O=[C]O_m2.O_m1,0.11697526982077415,abstraction
236,CC(C[CH]OO)OO_m2>>C[C](CCOO)OO_m2,0.11667384675891153,migration
237,[O]CC=CC[O]_m3.O=[C]C=CC=O_m2>>[O]CC=CC=O_m2.O=CC=CC=O_m1,0.11623332817704382,abstraction
238,[CH]=O_m2.[O]C=CC(C=O)O[O]_m3>>[C-]#[O+]_m1.[O]OC(C=O)C=CO_m2,0.11419018365329675,abstraction
239,[CH2]CC=C_m2.O=[C]C=CC=O_m2>>C=CC=C_m1.O=CC=CC=O_m1,0.1119008375398446,abstraction
240,[CH]1C=CCO1_m2.C=C[O]_m2>>C1C=COC=1_m1.CC=O_m1,0.11186751900172663,abstraction
241,C=C(C)O[O]_m2>>[O]O_m2.C=C=C_m1,0.11033129472931492,
242,[CH2]C=C_m2.[CH2]C=C_m2>>[CH]C=C_m3.C=CC_m1,0.11002102371110686,abstraction
243,CO[O]_m2.[C-]#[O+]_m1>>[O]OCC=O_m2,0.10795560981955868,
244,[O]O_m2.[OH]_m2>>[O][O]_m3.O_m1,0.107902532978461,abstraction
245,[O]O_m2.[CH2]_m1>>CO[O]_m2,0.10363762994780236,
246,C=O_m1.[CH]=C_m2>>[CH]=O_m2.C=C_m1,0.10331545504519887,abstraction
247,O_m1.[H]_m2>>[OH]_m2.[H][H]_m1,0.10231746188498264,abstraction
248,CC(CCOO)O[O]_m2>>CC(C[CH]OO)OO_m2,0.1020851809677726,migration
249,CC=O_m1.[O][O]_m3>>C[C]=O_m2.[O]O_m2,0.1019814115298294,abstraction
250,C[C](OCC=O)C(=O)C=O_m2>>CC(=O)C([O])(C=O)CC=O_m2,0.10145291903758563,
251,[O]_m3.[O]_m3.[He]_m1>>[O][O]_m3.[He]_m1,0.1008869198575494,
252,[C-]#[O+]_m1.[O][C]=CO_m3>>O=[C]C(O)[C]=O_m3,0.09845736952213552,addition
253,[H]_m2.OO_m1>>[OH]_m2.O_m1,0.09628719126362788,
254,C=O_m1.[O]O_m2>>[CH]=O_m2.OO_m1,0.09575203993777838,abstraction
255,[O][O]_m3.[CH3]_m2>>[OH]_m2.C=O_m1,0.0954412032865558,
256,[CH]=O_m2.[C]#C_m2>>[C-]#[O+]_m1.C#C_m1,0.0948390492132307,abstraction
257,[CH]=O_m2.C=C[O]_m2>>[C-]#[O+]_m1.CC=O_m1,0.09435545745505182,abstraction
258,O_m1>>[H]_m2.[OH]_m2,0.09416684109619353,
259,[O]C=O_m2.[O]_m3>>[O]OC=O_m2,0.0940370021385245,
260,C=C=O_m1.C=C[O]_m2>>C#C[O]_m2.C=CO_m1,0.09232019545530333,abstraction
261,OO_m1.[H]_m2>>[O]O_m2.[H][H]_m1,0.09183303580244348,abstraction
262,[H]_m2.C#C[O]_m2>>C=C=O_m1,0.091298938967894,
263,[CH2]C=C_m2.CO[O]_m2>>C=C=C_m1.COO_m1,0.09086184171196708,abstraction
264,[CH2]CC_m2.CCCCO[O]_m2>>C=CC_m1.CCCCOO_m1,0.0894724994945527,abstraction
265,C[O]_m2.[O]O_m2>>C=O_m1.OO_m1,0.08568295259296223,abstraction
266,COO_m1.[CH]=CCC_m2>>CO[O]_m2.C=CCC_m1,0.08520680548123576,abstraction
