Unnamed: 0,species,species_id,path
292,SC4H8OH-1,CCC(O)[CH2]_m2,geoms/CCC_p_O_q__b_CH2_d__m2.xyz
293,SC4H8OH-3,C[CH]C(O)C_m2,geoms/C_b_CH_d_C_p_O_q_C_m2.xyz
294,C4H71-3OH,CC(C=C)O_m1,geoms/CC_p_C=C_q_O_m1.xyz
295,C4H71-4OH,OCCC=C_m1,geoms/OCCC=C_m1.xyz
296,C4H71-1OH,CCC=CO_m1,geoms/CCC=CO_m1.xyz
297,C4H71-2OH,CCC(=C)O_m1,geoms/CCC_p_=C_q_O_m1.xyz
298,C4H72-1OH,CC=CCO_m1,geoms/CC=CCO_m1.xyz
299,C4H72-2OH,CC=C(O)C_m1,geoms/CC=C_p_O_q_C_m1.xyz
300,SQC4H8OP,CCC(OO)C[O]_m2,geoms/CCC_p_OO_q_C_b_O_d__m2.xyz
301,PQC4H8OS,CCC(COO)[O]_m2,geoms/CCC_p_COO_q__b_O_d__m2.xyz
302,PQC4H7OHS-3,C[CH]C(COO)O_m2,geoms/C_b_CH_d_C_p_COO_q_O_m2.xyz
303,NC4KET12OH,CCC(C=O)O_m1,geoms/CCC_p_C=O_q_O_m1.xyz
304,SQC4H7OHS-4,OOC(C(O)[CH2])C_m2,geoms/OOC_p_C_p_O_q__b_CH2_d__q_C_m2.xyz
305,SQC4H8OS,OOC(C([O])C)C_m2,geoms/OOC_p_C_p__b_O_d__q_C_q_C_m2.xyz
306,NC4KET23OH,CC(=O)C(O)C_m1,geoms/CC_p_=O_q_C_p_O_q_C_m1.xyz
307,SC4H8OH-3O2,[O]OC(C(O)C)C_m2,geoms/_b_O_d_OC_p_C_p_O_q_C_q_C_m2.xyz
308,CCY(COCC)OH,OC1COC1C_m1,geoms/OC1COC1C_m1.xyz
309,C4H7O2-1,CC=CC[O]_m2,geoms/CC=CC_b_O_d__m2.xyz
310,C4H6-1,CCC#C_m1,geoms/CCC_t_C_m1.xyz
311,AC3H5OCH2,[CH2]OCC=C_m2,geoms/_b_CH2_d_OCC=C_m2.xyz
312,SC3H5OCH2-1,[CH2]OC=CC_m2,geoms/_b_CH2_d_OC=CC_m2.xyz
313,"C8H141-5,3-4",C=CC(C(C=C)C)C_m1,geoms/C=CC_p_C_p_C=C_q_C_q_C_m1.xyz
314,"C8H141-5,3",CC=CCC(C=C)C_m1,geoms/CC=CCC_p_C=C_q_C_m1.xyz
315,C8H142-6,CC=CCCC=CC_m1,geoms/CC=CCCC=CC_m1.xyz
316,"C8H131-5,3-4,TA",C=C[C](C(C=C)C)C_m2,geoms/C=C_b_C_d__p_C_p_C=C_q_C_q_C_m2.xyz
317,"C8H131-5,3,TA",CC=CC[C](C=C)C_m2,geoms/CC=CC_b_C_d__p_C=C_q_C_m2.xyz
318,"C8H131-5,3,SA",CC=C[CH]C(C=C)C_m2,geoms/CC=C_b_CH_d_C_p_C=C_q_C_m2.xyz
319,"C8H131-5,3,PA",[CH2]C=CCC(C=C)C_m2,geoms/_b_CH2_d_C=CCC_p_C=C_q_C_m2.xyz
320,"C8H132-6,SA",CC=C[CH]CC=CC_m2,geoms/CC=C_b_CH_d_CC=CC_m2.xyz
321,"C8H132-6,PA",CC=CCCC=C[CH2]_m2,geoms/CC=CCCC=C_b_CH2_d__m2.xyz
322,"C6H101-3,3",CC=C(C=C)C_m1,geoms/CC=C_p_C=C_q_C_m1.xyz
323,"C8H131-5,3-4,TAO",C=CC(C(C=C)([O])C)C_m2,geoms/C=CC_p_C_p_C=C_q__p__b_O_d__q_C_q_C_m2.xyz
324,"C8H131-5,3,TAO",CC=CCC(C=C)([O])C_m2,geoms/CC=CCC_p_C=C_q__p__b_O_d__q_C_m2.xyz
325,"C8H131-5,3,SAO",CC=CC(C(C=C)C)[O]_m2,geoms/CC=CC_p_C_p_C=C_q_C_q__b_O_d__m2.xyz
326,"C8H131-5,3,PAO",CC(C=C)CC=CC[O]_m2,geoms/CC_p_C=C_q_CC=CC_b_O_d__m2.xyz
327,"C8H132-6,SAO",CC=CCC(C=CC)[O]_m2,geoms/CC=CCC_p_C=CC_q__b_O_d__m2.xyz
328,"C8H132-6,PAO",CC=CCCC=CC[O]_m2,geoms/CC=CCCC=CC_b_O_d__m2.xyz
329,"C7H111-5,3,6P",[CH]=CCC(C=C)C_m2,geoms/_b_CH_d_=CCC_p_C=C_q_C_m2.xyz
330,"C7H111-5,1P",[CH]=CCCC=CC_m2,geoms/_b_CH_d_=CCCC=CC_m2.xyz
331,"C4H64,2-1OH",[CH2]C=CCO_m2,geoms/_b_CH2_d_C=CCO_m2.xyz
332,"C4H63,1-1OH",C[CH]C=CO_m2,geoms/C_b_CH_d_C=CO_m2.xyz
333,"C4H63,1-3OH",C[C](C=C)O_m2,geoms/C_b_C_d__p_C=C_q_O_m2.xyz
334,"C4H63,1-2OH",C[CH]C(=C)O_m2,geoms/C_b_CH_d_C_p_=C_q_O_m2.xyz
335,C4H5OH-13,OC=CC=C_m1,geoms/OC=CC=C_m1.xyz
336,SQC4H7OHP-4,[CH2]CC(OO)CO_m2,geoms/_b_CH2_d_CC_p_OO_q_CO_m2.xyz
337,CY(CCCO)COH,OCC1CCO1_m1,geoms/OCC1CCO1_m1.xyz
338,NC4KET21OH,CCC(=O)CO_m1,geoms/CCC_p_=O_q_CO_m1.xyz
339,C2H5CHOHCO,CCC([C]=O)O_m2,geoms/CCC_p__b_C_d_=O_q_O_m2.xyz
340,CH3COCOHCH3,CC(=O)[C](O)C_m2,geoms/CC_p_=O_q__b_C_d__p_O_q_C_m2.xyz
