reaction_id,exception
CC(OO)[CH]CC_m2>>CCC1OC1C_m1.[OH]_m2,
CC(OO)[CH]CC_m2>>CCC1OC1C_m1.[OH]_m2,
CC(OO)C[CH]C_m2>>CC1CC(O1)C_m1.[OH]_m2,
CC(OO)C[CH]C_m2>>CC1CC(O1)C_m1.[OH]_m2,
CC(OO)CC[CH2]_m2>>CC1CCCO1_m1.[OH]_m2,
CCC(OO)C[CH2]_m2>>CCC1CCO1_m1.[OH]_m2,
C[CH]C(OO)CC_m2>>CCC1OC1C_m1.[OH]_m2,
C[CH]C(OO)CC_m2>>CCC1OC1C_m1.[OH]_m2,
CCCC(COO)O[O]_m2>>CCC=CCOO_m1.O[O]_m2,
OOCCC(O[O])CC_m2>>CCC=CCOO_m1.O[O]_m2,
OOCCC(O[O])CC_m2>>CC=CCCOO_m1.O[O]_m2,
OOCCCC(O[O])C_m2>>OOCCCC=C_m1.O[O]_m2,
OOCCCC(O[O])C_m2>>CC=CCCOO_m1.O[O]_m2,
OOCCCCCO[O]_m2>>OOCCCC=C_m1.O[O]_m2,
CCC(C(OO)C)O[O]_m2>>CC(C=CC)OO_m1.O[O]_m2,
OOC(CC(O[O])C)C_m2>>CC(C=CC)OO_m1.O[O]_m2,
OOC(CC(O[O])C)C_m2>>CC(OO)CC=C_m1.O[O]_m2,
[O]OCCCC(OO)C_m2>>CC(OO)CC=C_m1.O[O]_m2,
[O]OCCC(OO)CC_m2>>CCC(C=C)OO_m1.O[O]_m2,
CCC(C(O[O])C)OO_m2>>CCC(C=C)OO_m1.O[O]_m2,
CCCC(COO)O[O]_m2>>CCCC(C=O)OO_m1.[OH]_m2,
OOCCC(O[O])CC_m2>>CCC(OO)CC=O_m1.[OH]_m2,
OOCCCC(O[O])C_m2>>CC(OO)CCC=O_m1.[OH]_m2,
OOCCCCCO[O]_m2>>OOCCCCC=O_m1.[OH]_m2,
CCCC(CO[O])OO_m2>>CCCC(=O)COO_m1.[OH]_m2,
CCC(C(OO)C)O[O]_m2>>CCC(C(=O)C)OO_m1.[OH]_m2,
OOC(CC(O[O])C)C_m2>>CC(OO)CC(=O)C_m1.[OH]_m2,
[O]OCCCC(OO)C_m2>>OOCCCC(=O)C_m1.[OH]_m2,
[O]OCCC(OO)CC_m2>>CCC(=O)CCOO_m1.[OH]_m2,
CCC(C(O[O])C)OO_m2>>CC(C(=O)CC)OO_m1.[OH]_m2,
CCCC(C=O)OO_m1>>CCCC(C=O)[O]_m2.[OH]_m2,
CCC(OO)CC=O_m1>>CCC(CC=O)[O]_m2.[OH]_m2,
CC(OO)CCC=O_m1>>O=CCCC([O])C_m2.[OH]_m2,
OOCCCCC=O_m1>>[O]CCCCC=O_m2.[OH]_m2,
CCCC(=O)COO_m1>>CCCC(=O)C[O]_m2.[OH]_m2,
CCC(C(=O)C)OO_m1>>CCC(C(=O)C)[O]_m2.[OH]_m2,
CC(OO)CC(=O)C_m1>>CC(CC(=O)C)[O]_m2.[OH]_m2,
OOCCCC(=O)C_m1>>[O]CCCC(=O)C_m2.[OH]_m2,
CCC(=O)CCOO_m1>>[O]CCC(=O)CC_m2.[OH]_m2,
CC(C(=O)CC)OO_m1>>CCC(=O)C([O])C_m2.[OH]_m2,
CCC(CC=O)[O]_m2>>CCC=O_m1.[CH2]C=O_m2,
CCC(C(=O)C)[O]_m2>>CCC=O_m1.C[C]=O_m2,
CC(CC(=O)C)[O]_m2>>CC=O_m1.CC(=O)[CH2]_m2,
CCC1CC(OO1)O_m1>>OC=O_m1.CCC(=O)C_m1,
CCC1CC(OO1)O_m1>>CC(=O)O_m1.CCC=O_m1,
CC1OOC(C1)(C)O_m1>>CC(=O)O_m1.CC(=O)C_m1,
CCC1(O)CCOO1_m1>>CCC(=O)O_m1.CC=O_m1,
C[CH]C(C(OO)C)OO_m2>>CC(C=CC)OO_m1.O[O]_m2,
OOC([CH]C(OO)C)C_m2>>CC(C=CC)OO_m1.O[O]_m2,
CCC(C(OO)[CH2])OO_m2>>CCC(C1CO1)OO_m1.[OH]_m2,
CCC(C(OO)[CH2])OO_m2>>CCC1OCC1OO_m1.[OH]_m2,
OOC(CC(OO)C)[CH2]_m2>>CC(OO)CC1CO1_m1.[OH]_m2,
OOC(CC(OO)C)[CH2]_m2>>OOC1COC(C1)C_m1.[OH]_m2,
OOCCCC(OO)[CH2]_m2>>OOCCCC1CO1_m1.[OH]_m2,
OOCCCC(OO)[CH2]_m2>>OOC1CCCOC1_m1.[OH]_m2,
[CH2]CC(C(OO)C)OO_m2>>CC(C1CCO1)OO_m1.[OH]_m2,
[CH2]CC(C(OO)C)OO_m2>>CC1OCCC1OO_m1.[OH]_m2,
